*txt2utf.txt*

# number sets
\setN ℕ
\setZ ℤ
\setQ ℚ
\setR ℝ
\setC ℂ
\setH ℍ
\setO 𝕆
\setS 𝕊
\setA 𝔸

# subscripts
\0s ₀
\1s ₁
\2s ₂
\3s ₃
\4s ₄
\5s ₅
\6s ₆
\7s ₇
\8s ₈
\9s ₉
\+s ₊
\-s ₋
\=s ₌
\(s ₍

\as ₐ
\es ₑ
\hs ₕ
\is ᵢ
\js ⱼ
\ks ₖ
\ls ₗ
\ms ₘ
\ns ₙ
\os ₒ
\ps ₚ
\rs ᵣ
\ss ₛ
\ts ₜ
\us ᵤ
\vs ᵥ
\xs ₓ

\As ᴀ
\Cs ᴄ
\Ds ᴅ
\Es ᴇ
\Js ᴊ
\Ks ᴋ
\Ms ᴍ
\Os ᴏ
\Ps ᴘ
\Ts ᴛ
\Us ᴜ
\Vs ᴠ
\Ws ᴡ
\Zs ᴢ

\-alpha ᵅ
\-beta ᵝ
\-gamma ᵞ
\-delta ᵟ
\-epsilon ᵋ
\-theta ᶿ
\-iota ᶥ
\-phi_ ᵠ
\-phi ᶲ
\-chi ᵡ

\_beta ᵦ
\_gamma ᵧ
\_ro ᵨ
\_phi ᵩ
\_chi ᵪ


# superscripts
\0S ⁰
\1S ¹
\2S ²
\3S ³
\4S ⁴
\5S ⁵
\6S ⁶
\7S ⁷
\8S ⁸
\9S ⁹
\+S ⁺
\-S ⁻
\=S ⁼
\(S ⁽
\)S ⁾
\aS ᵃ
\bS ᵇ
\cS ᶜ
\dS ᵈ
\eS ᵉ
\fS ᶠ
\gS ᵍ
\hS ʰ
\iS ⁱ
\jS ʲ
\kS ᵏ
\lS ˡ
\mS ᵐ
\nS ⁿ
\pS ᵖ
\rS ʳ
\sS ˢ
\tS ᵗ
\uS ᵘ
\vS ᵛ
\wS ʷ
\xS ˣ
\yS ʸ
\zS ᶻ
\AS ᴬ
\BS ᴮ
\DS ᴰ
\ES ᴱ
\GS ᴳ
\HS ᴴ
\IS ᴵ
\JS ᴶ
\KS ᴷ
\LS ᴸ
\MS ᴹ
\NS ᴺ
\OS ᴼ
\PS ᴾ
\RS ᴿ
\TS ᵀ
\US ᵁ
\VS ⱽ
\WS ᵂ

# arithmetic
\star ∗
\prod ×
\-:- ÷
\plusminus ±
\minusplus ∓
\sqrt √

# misc
\aql «
\aqr »
\-- ―
\dbar ‖

# relations
\Relr 𝓻
\/Relr 𝓻̸
\Rels 𝓼
\/Rels 𝓼̸

# bold latin
\bla 𝐚
\blb 𝐛
\blc 𝐜
\bld 𝐝
\ble 𝐞
\blf 𝐟
\blg 𝐠
\blh 𝐡
\bli 𝐢
\blj 𝐣
\blk 𝐤
\bll 𝐥
\blm 𝐦
\bln 𝐧
\blo 𝐨
\blp 𝐩
\blq 𝐪
\blr 𝐫
\bls 𝐬
\blt 𝐭
\blu 𝐮
\blv 𝐯
\blw 𝐰
\blx 𝐱
\bly 𝐲
\blz 𝐳

# bold latin captial
\blA 𝐀
\blB 𝐁
\blC 𝐂
\blD 𝐃
\blE 𝐄
\blF 𝐅
\blG 𝐆
\blH 𝐇
\blI 𝐈
\blJ 𝐉
\blK 𝐊
\blL 𝐋
\blM 𝐌
\blN 𝐍
\blO 𝐎
\blP 𝐏
\blQ 𝐐
\blR 𝐑
\blS 𝐒
\blT 𝐓
\blU 𝐔
\blV 𝐕
\blW 𝐖
\blX 𝐗
\blY 𝐘
\blZ 𝐙

\bila 𝒂
\bilb 𝒃
\bilc 𝒄
\bild 𝒅
\bile 𝒆
\bilf 𝒇
\bilg 𝒈
\bilh 𝒉
\bili 𝒊
\bilj 𝒋
\bilk 𝒌
\bill 𝒍
\bilm 𝒎
\biln 𝒏
\bilo 𝒐
\bilp 𝒑
\bilq 𝒒
\bilr 𝒓
\bils 𝒔
\bilt 𝒕
\bilu 𝒖
\bilv 𝒗
\bilw 𝒘
\bilx 𝒙
\bily 𝒚
\bilz 𝒛

\bilA 𝑨
\bilB 𝑩
\bilC 𝑪
\bilD 𝑫
\bilE 𝑬
\bilF 𝑭
\bilG 𝑮
\bilH 𝑯
\bilI 𝑰
\bilJ 𝑱
\bilK 𝑲
\bilL 𝑳
\bilM 𝑴
\bilN 𝑵
\bilO 𝑶
\bilP 𝑷
\bilQ 𝑸
\bilR 𝑹
\bilS 𝑺
\bilT 𝑻
\bilU 𝑼
\bilV 𝑽
\bilW 𝑾
\bilX 𝑿
\bilY 𝒀
\bilZ 𝒁

# greek small
\alpha α
\beta β
\gamma γ
\delta δ
\epsilon ε
\zeta ζ
\eta η
\theta_ ϑ
\theta θ
\iota ι
\kappa κ
\lambda λ
\mu μ
\nu ν
\xi ξ
\omicron ο
\pi π
\rho ρ
\sigma_ σ
\sigma ς
\tau τ
\upsilon υ
\phi_ φ
\phi ϕ
\chi χ
\psi ψ
\omega ω

# greek capital
\Alpha Α
\Beta Β
\Gamma Γ
\Delta Δ
\Epsilon Ε
\Zeta Ζ
\Eta Η
\Theta Θ
\Iota Ι
\Kappa Κ
\Lambda Λ
\Mu Μ
\Nu Ν
\Xi Ξ
\Omicron Ο
\Pi Π
\Rho Ρ
\Sigma Σ
\Tau Τ
\Upsilon Υ
\Phi Φ
\Chi Χ
\Psi Ψ
\Omega Ω

# greek bold
\boldAlpha 𝚨
\boldBeta 𝚩
\boldGamma 𝚪
\boldAlpha 𝚫
\boldEpsilon 𝚬
\boldZeta 𝚭
\boldEta 𝚮
\boldIota 𝚰
\boldKappa 𝚱
\boldLambda 𝚲
\boldMu 𝚳
\boldNu 𝚴
\boldXi 𝚵
\boldOmicron 𝚶
\boldPi 𝚷
\boldRo 𝚸
\boldTheta 𝚹
\boldSigma 𝚺
\boldTau 𝚻
\boldUpsilon 𝚼
\boldPhi 𝚽
\boldChi 𝚾
\boldPsi 𝚿
\boldOmega 𝛀
\boldNabla 𝛁
\boldalpha 𝛂
\boldbeta 𝛃
\boldgamma 𝛄
\bolddelta_ 𝛅
\bolddelta 𝛛
\boldepsilon 𝛆
\boldzeta 𝛇
\boldeta 𝛈
\boldtheta_ 𝛝
\boldtheta 𝛉
\boldiota 𝛊
\boldkappa_ 𝛞
\boldkappa 𝛋
\boldlambda 𝛌
\boldmu 𝛍
\boldnu 𝛎
\boldxi 𝛏
\boldomikron 𝛐
\boldpi 𝛑
\boldro_ 𝛠
\boldro 𝛒
\boldsigma_ 𝛔
\boldsigma 𝛓
\boldtau 𝛕
\boldupsilon 𝛖
\boldphi_ 𝛗
\boldphi 𝛟
\boldchi 𝛘
\boldpsi 𝛙
\boldomega 𝛚

# marks
\1q ′
\2q ″
\3q ‴
\dagger †
\ddagger ‡
\bullet •
\ring ∘
\carretl ‹
\carretr ›

# quantifiers
\forall ∀
\exists ∃
\/exist ∄

# logic
\not ¬
\and ∧
\or ∨
\xor ⊻
\nand ⊼
\nor ⊽
\implied ←
\implies →
\iff ↔
\limplied ⇐
\limplies ⇒
\liff ⇔

# arrows
\updown ↕
\up ↑
\down ↓

# turnstiles
\assert ⊦
\models ⊧
\true ⊨
\/true ⊭
\/prove ⊬
\forces ⊩
\/forces ⊮
\dturn ⊫
\/dturn ⊯
\tturn ⊪
\rt ⊢
\lt ⊣
\dt ⊤
\ut ⊥

# n-ary sequences
\Prod ∏
\sum ∑
\And ⋀
\Or ⋁
\Cap ⋂
\Cup ⋃

# sets
\empty ∅
\el ∈
\/el ∉
\contains ∋
\/contains ∌
\sel ∊
\/sel ∊̸
\scontains ∍
\/scontains ∍̸
\cap ∩
\cup ∪
\dcup ⊍
\diff ∖
\sdiff ∆
\compl ∁

# set relations
\s<= ⊆
\s>= ⊇
\s</= ⊊
\s>/= ⊋
\s/<= ⊈
\s/>= ⊉
\s< ⊂
\s> ⊃
\s/< ⊄
\s/> ⊅

# types
\sqcap ⊓
\sqcup ⊔
\t</= ⋤
\t<= ⊑
\t>= ⊒
\t/<= ⊑̷
\t/>= ⊒̷
\t>/= ⋥
\t/< ⋢
\t/> ⋣
\t< ⊏
\t> ⊐

# dots
\therefore ∴
\because ∵
\ratio ∶
\proportion ∷
\dot ⋅
\v3d ⋮
\h3d ⋯

# circles
\cplus ⊕
\cminus ⊖
\cprod ⊗
\cslash ⊘
\cdot ⊙
\cring ⊚
\casterisk ⊛
\ceq ⊜
\cdash ⊝
\sqplus ⊞
\sqminus ⊟
\sqprod ⊠
\sqdot ⊡

# equivalence
\~- ≃
\~= ≅
\~~ ≈
\/= ≠
\id ≡

# compare operators
\<= ≤
\>= ≥
\/<= ≰
\/>= ≱
\<~ ≲
\>~ ≳
\/<~ ≴
\/>~ ≵
\<> ≶
\>< ≷
\/<> ≸
\/>< ≹
\/< ≮
\/> ≯

# division
\divides ∣
\/divides ∤
\c[ ⌈
\c] ⌉
\f[ ⌊
\f] ⌋
